RT,GazeRT,StimulusHorizontalDegree,StimulusVerticalDegree,InitialGazeDistance
1.7772400000000026,0.3376100000000015,18.0,1,3.6014067310031384
,0.023930000000000007,5.5,1,20.503425274378497
0.6116600000000005,1.4243099999999984,28.0,-2,9.369235296126828
,0.7763300000000015,45.5,2,4.630377450972247
,1.1253300000000053,48.0,-2,5.527689959644086
0.4227599999999967,,10.5,-1,6.244126342680545
0.43690999999999747,,13.0,-2,2.8113652190967025
0.48040000000000305,1.234650000000002,13.0,1,4.597705538176481
0.4200000000000017,0.551400000000001,8.0,-2,7.2961895656477225
0.41800000000000637,,28.0,-1,3.357486423473198
,0.044900000000012597,38.0,-1,6.039601437474101
0.3885999999999967,,38.0,-2,5.846268724049109
0.6569999999999965,1.0327000000000055,30.5,-1,9.638478707312455
0.4887999999999977,,20.5,-2,7.967886931270323
,1.31310000000002,50.5,-2,9.729803652985508
0.5030000000000143,1.5,40.5,-2,6.2570611426840514
